ins	tilim_cplex	instance_nodes	num_arcs_instance	globparam_howmuch_drone_is_faster	globparam_cmax	globparam_cmax_ratio	globparam_penalty_survop	globparam_service_time	shortcuts_allowed	truck_manhattan_distance_metric	num_damaged_arcs	list_of_dam_arcs	globparam_input_clustered_damage	globparam_input_customer_ratio	list_of_customers	customer_num	input_parking_nodes	list_of_parking_nodes	parking_nodes_num	optimistic_surv_reopt_ops	globparam_sichtfeld_setting	optimistic_initial_solution	full_info_obj	time_full_info	full_info_truck_arcs	full_info_solution_procedure	full_info_truck_travel_duration	full_info_drone_travel_duration	full_info_tandem_travel	full_info_drone_sortie_duration	full_info_truck_wait	full_info_drone_wait	full_info_ops_num	full_info_drone_truck_tandem_ops	survfirst_surveillance_sol	survfirst_obj	total_cost_surveillance_first	n_replan_surveillance_first	list_of_surveillance_customers	num_surv_customers	time_survfirst_surveillance	surv_truck_arcs	survfirst_solution_procedure	survfirst_truck_travel_duration	survfirst_drone_travel_duration	survfirst_tandem_travel	survfirst_drone_sortie_duration	survfirst_truck_wait	survfirst_drone_wait	survfirst_planned_truck_damages	survfirst_ops_num	survfirst_drone_truck_tandem_ops	survfirst_truck_times_vec	survfirst_drone_times_vec	survfirst_truck_wait_vec	survfirst_drone_wait_vec	survfirst_drone_times_comb_vec	survop_surveillance_sol	survop_obj	total_cost_survop	n_replan_survop_survphase	dyn_cmax	list_of_surveillance_survop_customers	num_survop_customers	n_replan_survop_reoptphase	n_replan_survop_reopt_last_operation	time_survop_surveillance	survop_truck_arcs	survop_solution_procedure	survop_truck_travel_duration	survop_drone_travel_duration	survop_tandem_travel	survop_drone_sortie_duration	survop_truck_wait	survop_drone_wait	survop_surv_planned_truck_damages	survop_deliv_planned_truck_damages	survop_ops_num	survop_drone_truck_tandem_ops	survop_truck_times_vec	survop_drone_times_vec	survop_truck_wait_vec	survop_drone_wait_vec	survop_drone_times_comb_vec	reopt_obj	n_replan_reopt	n_replan_last_op_last_delivery	time_reopt	reopt_truck_arcs	reopt_solution_procedure	reopt_truck_travel_duration	reopt_drone_travel_duration	reopt_tandem_travel	reopt_drone_sortie_duration	reopt_truck_wait	reopt_drone_wait	reopt_planned_truck_damages	reopt_ops_num	reopt_drone_truck_tandem_ops	reopt_truck_times_vec	reopt_drone_times_vec	reopt_truck_wait_vec	reopt_drone_wait_vec	reopt_drone_times_comb_vec	conservative_obj	time_conservative	drone_op_times	random_seeds	iteration	error_text	time_stamp	year	month	day	time
1621	1800.000000	16	36	2.0	-1.0	0.25	1.300000	0.000000	false	false	22	[(2, 11),(2, 13),(2, 14),(3, 6),(3, 7),(3, 13),(4, 6),(5, 6),(5, 9),(5, 11),(5, 14),(6, 3),(6, 4),(6, 5),(6, 8),(6, 11),(7, 3),(7, 9),(7, 11),(7, 13),(7, 15),(8, 6),(8, 9),(8, 15),(9, 5),(9, 7),(9, 8),(10, 13),(10, 14),(11, 2),(11, 5),(11, 6),(11, 7),(11, 12),(12, 11),(13, 2),(13, 3),(13, 7),(13, 10),(14, 2),(14, 5),(14, 10),(15, 7),(15, 8)]	0.000000	0.333000	[4, 10, 13, 14, 15,]	5	0.333000	[0, 4, 10, 13, 14, 15,]	6	2	NONE	2578.0	3012.500	0.035637	[(0, 4),(4, 0),(4, 15),(15, 4)]	completion_time	2334.0	3012.500	0.0	0.0	678.500	0.0	3	0	1142.0	3012.500	4154.500	1	[4, 11, 15, ]	3	0.108667	[(0, 4),(0, 11),(4, 0),(4, 15),(7, 11),(7, 13),(7, 15),(11, 0),(11, 7),(13, 7),(15, 4),(15, 7)]	completion_time	2334.0	3012.500	0.0	0.0	678.500	0.0	4	3	0	[524,1286,524]	[750,1298,964.5]	[226,12,440.5]	[0,0,0]	[750,1298,964.5]	0.0	3012.500	3012.500	0	216.25	[]	0	1	0	0.147038	[(0, 4),(0, 11),(4, 0),(4, 15),(7, 11),(7, 13),(7, 15),(11, 0),(11, 7),(13, 7),(15, 4),(15, 7)]	completion_time	2573.0	3012.500	0.0	0.0	439.500	0.0	4	4	3	0	[763,1286,524]	[964.5,1298,750]	[201.5,12,226]	[0,0,0]	[964.5,1298,750]	3012.500	1	0	0.053593	[(0, 4),(0, 11),(4, 0),(4, 15),(7, 11),(7, 13),(7, 15),(11, 0),(11, 7),(13, 7),(15, 4),(15, 7)]	completion_time	2573.0	3012.500	0.0	0.0	439.500	0.0	4	3	0	[763,1286,524]	[964.5,1298,750]	[201.5,12,226]	[0,0,0]	[964.5,1298,750]	4269.0	0.000178	[524,880,650,1098,1117]	327034504704	1		1719780682	2024	6	30	22:51:22
1621	1800.000000	16	36	2.0	-1.0	0.25	1.300000	0.000000	false	false	22	[(2, 12),(2, 14),(3, 6),(3, 7),(3, 13),(3, 14),(4, 6),(4, 9),(4, 12),(4, 15),(5, 6),(5, 8),(5, 9),(6, 3),(6, 4),(6, 5),(6, 11),(7, 3),(7, 9),(7, 11),(7, 12),(7, 13),(7, 15),(8, 5),(8, 9),(8, 10),(9, 4),(9, 5),(9, 7),(9, 8),(10, 8),(10, 13),(11, 6),(11, 7),(12, 2),(12, 4),(12, 7),(13, 3),(13, 7),(13, 10),(14, 2),(14, 3),(15, 4),(15, 7)]	0.000000	0.333000	[4, 10, 13, 14, 15,]	5	0.333000	[0, 4, 10, 13, 14, 15,]	6	2	NONE	2578.0	2911.0	0.026028	[(0, 4),(0, 11),(4, 0),(5, 10),(5, 11),(10, 5),(11, 0),(11, 5)]	completion_time	2808.0	2728.0	0.0	0.0	103.0	183.0	3	0	1428.0	2911.0	4339.0	4	[4, 5, 7, 10, 11, ]	5	0.150903	[(0, 4),(0, 11),(2, 11),(2, 13),(4, 0),(4, 6),(4, 15),(5, 6),(5, 10),(5, 11),(6, 4),(6, 5),(7, 10),(7, 11),(7, 13),(7, 15),(10, 5),(10, 7),(10, 13),(11, 0),(11, 2),(11, 5),(11, 7),(13, 2),(13, 7),(13, 10),(15, 4),(15, 7)]	completion_time	2808.0	2728.0	0.0	0.0	103.0	183.0	9	3	0	[1048,880,880]	[1117,914,697]	[69,34,0]	[0,0,183]	[1117,914,880]	0.0	2911.0	2911.0	0	216.25	[]	0	2	0	0.123707	[(0, 4),(0, 11),(4, 0),(4, 6),(4, 15),(5, 6),(5, 10),(5, 11),(6, 4),(6, 5),(7, 11),(7, 13),(7, 15),(10, 5),(11, 0),(11, 5),(11, 7),(13, 7),(15, 4),(15, 7)]	completion_time	2808.0	2728.0	0.0	0.0	103.0	183.0	5	7	3	0	[880,880,1048]	[914,697,1117]	[34,0,69]	[0,183,0]	[914,880,1117]	4302.0	4	0	0.091941	[(0, 4),(0, 11),(2, 11),(2, 13),(4, 0),(4, 6),(4, 15),(5, 6),(5, 10),(5, 11),(6, 4),(6, 5),(7, 10),(7, 11),(7, 13),(7, 15),(10, 5),(10, 7),(10, 13),(11, 0),(11, 2),(11, 5),(11, 7),(13, 2),(13, 7),(13, 10),(15, 4),(15, 7)]	completion_time	3258.0	3228.500	0.0	650.0	1044.0	423.500	9	4	0	[880,1498,880]	[914,1074.5,1240,650]	[34,0,360,650]	[0,423.5,0,0]	[914,1498,1240,650]	4269.0	0.000182	[524,880,650,1098,1117]	615746865544	1		1719780683	2024	6	30	22:51:23
1621	1800.000000	16	36	2.0	-1.0	0.25	1.300000	0.000000	false	false	22	[(2, 11),(2, 12),(3, 13),(3, 14),(4, 6),(4, 12),(4, 15),(5, 8),(5, 9),(5, 10),(5, 11),(5, 14),(6, 4),(6, 11),(7, 9),(7, 10),(7, 11),(7, 15),(8, 5),(8, 9),(8, 10),(8, 15),(9, 5),(9, 7),(9, 8),(10, 5),(10, 7),(10, 8),(10, 14),(11, 2),(11, 5),(11, 6),(11, 7),(11, 12),(12, 2),(12, 4),(12, 11),(13, 3),(14, 3),(14, 5),(14, 10),(15, 4),(15, 7),(15, 8)]	0.000000	0.333000	[4, 10, 13, 14, 15,]	5	0.333000	[0, 4, 10, 13, 14, 15,]	6	2	NONE	2578.0	3455.500	0.044914	[(0, 4),(4, 0)]	completion_time	1048.0	1714.500	0.0	1741.0	2407.500	0.0	4	0	1674.500	3455.500	5130.0	4	[4, 7, 11, 12, 13, 15, ]	6	0.156379	[(0, 4),(0, 11),(4, 0),(4, 6),(4, 12),(4, 15),(5, 6),(5, 10),(6, 4),(6, 5),(7, 11),(7, 12),(7, 13),(7, 15),(10, 5),(11, 0),(11, 7),(12, 4),(12, 7),(13, 7),(15, 4),(15, 7)]	completion_time	1048.0	1714.500	0.0	1741.0	2407.500	0.0	11	4	0	[524,524]	[1098,750,643,964.5]	[1098,226,643,440.5]	[0,0,0,0]	[1098,750,643,964.5]	0.0	3455.500	3455.500	0	216.25	[]	0	2	0	0.115045	[(0, 4),(0, 11),(4, 0),(4, 15),(7, 11),(7, 13),(7, 15),(11, 0),(11, 7),(13, 7),(15, 4),(15, 7)]	completion_time	2335.0	2812.500	0.0	643.0	1120.500	0.0	3	5	4	0	[763,524,1048]	[964.5,643,750,1098]	[201.5,643,226,50]	[0,0,0,0]	[964.5,643,750,1098]	3554.500	3	0	0.079200	[(0, 4),(0, 11),(4, 0),(4, 9),(4, 15),(7, 9),(7, 11),(7, 13),(7, 15),(9, 4),(9, 7),(11, 0),(11, 7),(13, 7),(15, 4),(15, 7)]	completion_time	3077.0	3554.500	0.0	0.0	477.500	0.0	7	4	0	[763,742,524,1048]	[964.5,742,750,1098]	[201.5,0,226,50]	[0,0,0,0]	[964.5,742,750,1098]	4269.0	0.000201	[524,880,650,1098,1117]	91254336013	1		1719780683	2024	6	30	22:51:23
1621	1800.000000	16	36	2.0	-1.0	0.25	1.300000	0.000000	false	false	22	[(2, 13),(3, 6),(3, 7),(3, 13),(4, 6),(4, 9),(4, 12),(4, 15),(5, 8),(5, 9),(5, 10),(5, 11),(5, 14),(6, 3),(6, 4),(7, 3),(7, 10),(7, 11),(7, 13),(7, 15),(8, 5),(8, 9),(8, 10),(8, 15),(9, 4),(9, 5),(9, 8),(10, 5),(10, 7),(10, 8),(10, 13),(10, 14),(11, 5),(11, 7),(12, 4),(13, 2),(13, 3),(13, 7),(13, 10),(14, 5),(14, 10),(15, 4),(15, 7),(15, 8)]	0.000000	0.333000	[4, 10, 13, 14, 15,]	5	0.333000	[0, 4, 10, 13, 14, 15,]	6	2	NONE	2578.0	3313.0	0.023238	[(0, 4),(0, 11),(2, 11),(2, 14),(4, 0),(11, 0),(11, 2),(14, 2)]	completion_time	3244.0	2710.0	0.0	0.0	69.0	603.0	3	0	2540.0	3313.0	5853.0	6	[2, 4, 5, 6, 11, 13, 14, 15, ]	8	0.219326	[(0, 4),(0, 11),(2, 11),(2, 13),(2, 14),(4, 0),(4, 6),(4, 9),(4, 15),(5, 6),(5, 10),(6, 4),(6, 5),(6, 11),(7, 9),(7, 11),(7, 12),(7, 13),(7, 15),(9, 4),(9, 7),(10, 5),(10, 14),(11, 0),(11, 2),(11, 6),(11, 7),(11, 12),(12, 7),(12, 11),(13, 2),(13, 7),(14, 2),(14, 10),(15, 4),(15, 7)]	completion_time	3244.0	2710.0	0.0	0.0	69.0	603.0	18	3	0	[1048,1098,1098]	[1117,788,805]	[69,0,0]	[0,310,293]	[1117,1098,1098]	0.0	3769.500	3769.500	0	216.25	[]	0	4	0	0.167342	[(0, 4),(0, 11),(2, 11),(2, 13),(4, 0),(4, 6),(4, 9),(4, 15),(6, 4),(6, 11),(7, 9),(7, 11),(7, 13),(7, 15),(9, 4),(9, 7),(11, 0),(11, 2),(11, 6),(11, 7),(13, 2),(13, 7),(15, 4),(15, 7)]	completion_time	2012.0	2812.500	0.0	643.0	1757.500	314.0	5	14	4	0	[964,524,524]	[650,1198,643,964.5]	[0,674,643,440.5]	[314,0,0,0]	[964,1198,643,964.5]	4382.500	5	0	0.215955	[(0, 4),(0, 11),(2, 11),(2, 13),(4, 0),(4, 6),(4, 9),(4, 15),(5, 6),(5, 9),(5, 10),(6, 4),(6, 5),(6, 11),(7, 9),(7, 11),(7, 13),(7, 15),(9, 4),(9, 5),(9, 7),(10, 5),(11, 0),(11, 2),(11, 6),(11, 7),(13, 2),(13, 7),(15, 4),(15, 7)]	completion_time	2625.0	3328.500	0.0	643.0	1757.500	411.0	18	4	0	[1577,524,524]	[1166,1198,643,964.5]	[0,674,643,440.5]	[411,0,0,0]	[1577,1198,643,964.5]	4269.0	0.000419	[524,880,650,1098,1117]	794398204821	1		1719780684	2024	6	30	22:51:24
1621	1800.000000	16	36	2.0	-1.0	0.25	1.300000	0.000000	false	false	22	[(1, 11),(2, 11),(2, 12),(2, 14),(3, 6),(3, 13),(3, 14),(4, 9),(4, 12),(5, 8),(5, 9),(5, 11),(5, 14),(6, 3),(6, 8),(6, 11),(7, 9),(7, 12),(7, 15),(8, 5),(8, 6),(8, 9),(8, 10),(9, 4),(9, 5),(9, 7),(9, 8),(10, 8),(10, 13),(11, 1),(11, 2),(11, 5),(11, 6),(11, 12),(12, 2),(12, 4),(12, 7),(12, 11),(13, 3),(13, 10),(14, 2),(14, 3),(14, 5),(15, 7)]	0.000000	0.333000	[4, 10, 13, 14, 15,]	5	0.333000	[0, 4, 10, 13, 14, 15,]	6	2	NONE	2578.0	2835.0	0.025742	[(0, 11),(7, 10),(7, 11),(7, 13),(10, 7),(11, 0),(11, 7),(13, 7)]	completion_time	2798.0	2755.0	0.0	0.0	37.0	80.0	3	0	1137.0	2835.0	3972.0	2	[7, 10, 11, 13, ]	4	0.095420	[(0, 4),(0, 11),(4, 0),(4, 15),(7, 10),(7, 11),(7, 13),(7, 15),(10, 7),(10, 13),(11, 0),(11, 7),(13, 7),(13, 10),(15, 4),(15, 7)]	completion_time	2798.0	2755.0	0.0	0.0	37.0	80.0	2	3	0	[1252,896,650]	[1240,828,687]	[0,0,37]	[12,68,0]	[1252,896,687]	0.0	2941.0	2941.0	0	216.25	[]	0	1	0	0.086458	[(0, 4),(0, 11),(4, 0),(4, 15),(7, 11),(7, 13),(7, 15),(11, 0),(11, 7),(13, 7),(15, 4),(15, 7)]	completion_time	2348.0	2941.0	0.0	0.0	593.0	0.0	1	1	3	0	[650,650,1048]	[1012,812,1117]	[362,162,69]	[0,0,0]	[1012,812,1117]	2941.0	1	0	0.053970	[(0, 4),(0, 11),(4, 0),(4, 15),(7, 11),(7, 13),(7, 15),(11, 0),(11, 7),(13, 7),(15, 4),(15, 7)]	completion_time	2348.0	2941.0	0.0	0.0	593.0	0.0	1	3	0	[650,650,1048]	[1012,812,1117]	[362,162,69]	[0,0,0]	[1012,812,1117]	4269.0	0.000501	[524,880,650,1098,1117]	590352305826	1		1719780685	2024	6	30	22:51:25
1621	1800.000000	16	36	2.0	-1.0	0.25	1.300000	0.000000	false	false	22	[(1, 11),(2, 11),(2, 12),(2, 13),(3, 6),(3, 7),(3, 14),(4, 6),(4, 9),(5, 8),(5, 10),(5, 11),(5, 14),(6, 3),(6, 4),(6, 11),(7, 3),(7, 9),(7, 11),(7, 12),(7, 15),(8, 5),(8, 15),(9, 4),(9, 7),(10, 5),(10, 13),(10, 14),(11, 1),(11, 2),(11, 5),(11, 6),(11, 7),(11, 12),(12, 2),(12, 7),(12, 11),(13, 2),(13, 10),(14, 3),(14, 5),(14, 10),(15, 7),(15, 8)]	0.000000	0.333000	[4, 10, 13, 14, 15,]	5	0.333000	[0, 4, 10, 13, 14, 15,]	6	2	NONE	2578.0	3012.500	0.024806	[(0, 4),(4, 0),(4, 15),(15, 4)]	completion_time	2334.0	3012.500	0.0	0.0	678.500	0.0	3	0	1142.0	3012.500	4154.500	1	[4, 11, 15, ]	3	0.100218	[(0, 4),(0, 11),(4, 0),(4, 15),(7, 11),(7, 13),(7, 15),(11, 0),(11, 7),(13, 7),(15, 4),(15, 7)]	completion_time	2334.0	3012.500	0.0	0.0	678.500	0.0	2	3	0	[524,1286,524]	[750,1298,964.5]	[226,12,440.5]	[0,0,0]	[750,1298,964.5]	0.0	3012.500	3012.500	0	216.25	[]	0	1	0	0.084521	[(0, 4),(0, 11),(4, 0),(4, 15),(7, 11),(7, 13),(7, 15),(11, 0),(11, 7),(13, 7),(15, 4),(15, 7)]	completion_time	2573.0	3012.500	0.0	0.0	439.500	0.0	2	2	3	0	[763,1286,524]	[964.5,1298,750]	[201.5,12,226]	[0,0,0]	[964.5,1298,750]	3012.500	1	0	0.050581	[(0, 4),(0, 11),(4, 0),(4, 15),(7, 11),(7, 13),(7, 15),(11, 0),(11, 7),(13, 7),(15, 4),(15, 7)]	completion_time	2573.0	3012.500	0.0	0.0	439.500	0.0	2	3	0	[763,1286,524]	[964.5,1298,750]	[201.5,12,226]	[0,0,0]	[964.5,1298,750]	4269.0	0.000173	[524,880,650,1098,1117]	100478638890	1		1719780686	2024	6	30	22:51:26
1621	1800.000000	16	36	2.0	-1.0	0.25	1.300000	0.000000	false	false	22	[(2, 11),(2, 12),(2, 13),(3, 6),(3, 7),(3, 13),(4, 6),(4, 9),(4, 12),(4, 15),(5, 6),(5, 8),(5, 14),(6, 3),(6, 4),(6, 5),(6, 11),(7, 3),(7, 9),(7, 11),(7, 12),(8, 5),(8, 9),(8, 10),(8, 15),(9, 4),(9, 7),(9, 8),(10, 8),(10, 14),(11, 2),(11, 6),(11, 7),(11, 12),(12, 2),(12, 4),(12, 7),(12, 11),(13, 2),(13, 3),(14, 5),(14, 10),(15, 4),(15, 8)]	0.000000	0.333000	[4, 10, 13, 14, 15,]	5	0.333000	[0, 4, 10, 13, 14, 15,]	6	2	NONE	2578.0	2911.0	0.024949	[(0, 4),(0, 11),(4, 0),(5, 10),(5, 11),(10, 5),(11, 0),(11, 5)]	completion_time	2808.0	2728.0	0.0	0.0	103.0	183.0	3	0	1250.500	2911.0	4161.500	3	[4, 5, 9, 10, 11, ]	5	0.162231	[(0, 4),(0, 11),(4, 0),(4, 6),(4, 9),(4, 15),(5, 6),(5, 9),(5, 10),(5, 11),(6, 4),(6, 5),(7, 11),(7, 13),(7, 15),(9, 4),(9, 5),(10, 5),(11, 0),(11, 5),(11, 7),(13, 7),(15, 4),(15, 7)]	completion_time	2808.0	2728.0	0.0	0.0	103.0	183.0	5	3	0	[1048,880,880]	[1117,914,697]	[69,34,0]	[0,0,183]	[1117,914,880]	0.0	3770.0	3770.0	0	216.25	[]	0	3	0	0.143917	[(0, 4),(0, 11),(4, 0),(4, 6),(4, 9),(4, 15),(5, 6),(5, 9),(5, 10),(5, 11),(6, 4),(6, 5),(7, 11),(7, 13),(7, 15),(9, 4),(9, 5),(10, 5),(11, 0),(11, 5),(11, 7),(13, 7),(15, 4),(15, 7)]	completion_time	3212.0	3063.0	0.0	524.0	558.0	183.0	2	5	4	0	[880,1452,880]	[914,1452,697,524]	[34,0,0,524]	[0,0,183,0]	[914,1452,880,524]	3770.0	3	0	0.104912	[(0, 4),(0, 11),(4, 0),(4, 6),(4, 9),(4, 15),(5, 6),(5, 9),(5, 10),(5, 11),(6, 4),(6, 5),(7, 11),(7, 13),(7, 15),(9, 4),(9, 5),(10, 5),(11, 0),(11, 5),(11, 7),(13, 7),(15, 4),(15, 7)]	completion_time	3212.0	3063.0	0.0	524.0	558.0	183.0	5	4	0	[880,1452,880]	[914,1452,697,524]	[34,0,0,524]	[0,0,183,0]	[914,1452,880,524]	4269.0	0.000192	[524,880,650,1098,1117]	80494878255	1		1719780686	2024	6	30	22:51:26
1621	1800.000000	16	36	2.0	-1.0	0.25	1.300000	0.000000	false	false	22	[(1, 11),(2, 11),(2, 14),(3, 14),(4, 6),(4, 9),(4, 12),(4, 15),(5, 6),(5, 8),(5, 11),(5, 14),(6, 4),(6, 5),(6, 8),(6, 11),(7, 9),(7, 10),(7, 11),(7, 12),(8, 5),(8, 6),(8, 9),(9, 4),(9, 7),(9, 8),(10, 7),(10, 13),(10, 14),(11, 1),(11, 2),(11, 5),(11, 6),(11, 7),(11, 12),(12, 4),(12, 7),(12, 11),(13, 10),(14, 2),(14, 3),(14, 5),(14, 10),(15, 4)]	0.000000	0.333000	[4, 10, 13, 14, 15,]	5	0.333000	[0, 4, 10, 13, 14, 15,]	6	2	NONE	2578.0	3455.500	0.026223	[(0, 4),(4, 0)]	completion_time	1048.0	1714.500	0.0	1741.0	2407.500	0.0	4	0	1142.0	3455.500	4597.500	3	[4, 11, 15, ]	3	0.200507	[(0, 4),(0, 11),(4, 0),(4, 6),(4, 15),(5, 6),(5, 10),(6, 4),(6, 5),(7, 11),(7, 13),(7, 15),(10, 5),(11, 0),(11, 7),(13, 7),(15, 4),(15, 7)]	completion_time	1048.0	1714.500	0.0	1741.0	2407.500	0.0	8	4	0	[524,524]	[1098,750,643,964.5]	[1098,226,643,440.5]	[0,0,0,0]	[1098,750,643,964.5]	0.0	3455.500	3455.500	0	216.25	[]	0	2	0	0.132969	[(0, 4),(0, 11),(4, 0),(4, 15),(7, 11),(7, 13),(7, 15),(11, 0),(11, 7),(13, 7),(15, 4),(15, 7)]	completion_time	2335.0	2812.500	0.0	643.0	1120.500	0.0	2	4	4	0	[763,524,1048]	[964.5,643,750,1098]	[201.5,643,226,50]	[0,0,0,0]	[964.5,643,750,1098]	3455.500	2	0	0.106562	[(0, 4),(0, 11),(4, 0),(4, 15),(7, 11),(7, 13),(7, 15),(11, 0),(11, 7),(13, 7),(15, 4),(15, 7)]	completion_time	2335.0	2812.500	0.0	643.0	1120.500	0.0	4	4	0	[763,524,1048]	[964.5,643,750,1098]	[201.5,643,226,50]	[0,0,0,0]	[964.5,643,750,1098]	4269.0	0.000282	[524,880,650,1098,1117]	959095056689	1		1719780687	2024	6	30	22:51:27
1621	1800.000000	16	36	2.0	-1.0	0.25	1.300000	0.000000	false	false	22	[(2, 12),(2, 14),(3, 6),(3, 13),(3, 14),(4, 9),(4, 12),(4, 15),(5, 6),(5, 9),(5, 11),(6, 3),(6, 5),(6, 8),(6, 11),(7, 9),(7, 10),(7, 11),(7, 12),(7, 13),(7, 15),(8, 6),(8, 9),(8, 15),(9, 4),(9, 5),(9, 7),(9, 8),(10, 7),(10, 13),(11, 5),(11, 6),(11, 7),(12, 2),(12, 4),(12, 7),(13, 3),(13, 7),(13, 10),(14, 2),(14, 3),(15, 4),(15, 7),(15, 8)]	0.000000	0.333000	[4, 10, 13, 14, 15,]	5	0.333000	[0, 4, 10, 13, 14, 15,]	6	2	NONE	2578.0	3096.0	0.027469	[(0, 4),(0, 11),(2, 11),(2, 13),(4, 0),(11, 0),(11, 2),(13, 2)]	completion_time	3096.0	2831.0	0.0	0.0	0.0	265.0	3	0	1476.0	3096.0	4572.0	3	[2, 4, 11, 13, 15, ]	5	0.145443	[(0, 4),(0, 11),(2, 11),(2, 13),(4, 0),(4, 9),(4, 15),(7, 9),(7, 11),(7, 13),(7, 15),(9, 4),(9, 7),(11, 0),(11, 2),(11, 7),(13, 2),(13, 7),(15, 4),(15, 7)]	completion_time	3096.0	2831.0	0.0	0.0	0.0	265.0	10	3	0	[1024,1024,1048]	[1012,939,880]	[0,0,0]	[12,85,168]	[1024,1024,1048]	0.0	3468.500	3468.500	0	216.25	[]	0	3	0	0.126024	[(0, 4),(0, 11),(2, 11),(2, 13),(4, 0),(4, 9),(4, 15),(7, 9),(7, 11),(7, 13),(7, 15),(9, 4),(9, 7),(11, 0),(11, 2),(11, 7),(13, 2),(13, 7),(15, 4),(15, 7)]	completion_time	2335.0	2812.500	0.0	643.0	1133.500	13.0	5	10	4	0	[763,524,1048]	[750,643,964.5,1098]	[0,643,440.5,50]	[13,0,0,0]	[763,643,964.5,1098]	3468.500	3	0	0.131120	[(0, 4),(0, 11),(2, 11),(2, 13),(4, 0),(4, 9),(4, 15),(7, 9),(7, 11),(7, 13),(7, 15),(9, 4),(9, 7),(11, 0),(11, 2),(11, 7),(13, 2),(13, 7),(15, 4),(15, 7)]	completion_time	2335.0	2812.500	0.0	643.0	1133.500	13.0	10	4	0	[763,524,1048]	[750,643,964.5,1098]	[0,643,440.5,50]	[13,0,0,0]	[763,643,964.5,1098]	4269.0	0.000250	[524,880,650,1098,1117]	404161968053	1		1719780688	2024	6	30	22:51:28
1621	1800.000000	16	36	2.0	-1.0	0.25	1.300000	0.000000	false	false	22	[(1, 11),(2, 12),(2, 13),(2, 14),(3, 6),(3, 14),(4, 6),(4, 9),(4, 15),(5, 9),(5, 10),(5, 11),(5, 14),(6, 3),(6, 4),(6, 8),(6, 11),(7, 10),(7, 11),(7, 12),(7, 13),(8, 6),(8, 10),(9, 4),(9, 5),(10, 5),(10, 7),(10, 8),(10, 13),(11, 1),(11, 5),(11, 6),(11, 7),(11, 12),(12, 2),(12, 7),(12, 11),(13, 2),(13, 7),(13, 10),(14, 2),(14, 3),(14, 5),(15, 4)]	0.000000	0.333000	[4, 10, 13, 14, 15,]	5	0.333000	[0, 4, 10, 13, 14, 15,]	6	2	NONE	2578.0	3455.500	0.033620	[(0, 4),(4, 0)]	completion_time	1048.0	1714.500	0.0	1741.0	2407.500	0.0	4	0	1476.0	3455.500	4931.500	4	[2, 4, 11, 15, ]	4	0.146307	[(0, 4),(0, 11),(2, 11),(2, 13),(4, 0),(4, 6),(4, 9),(4, 15),(5, 6),(5, 10),(6, 4),(6, 5),(7, 9),(7, 11),(7, 13),(7, 15),(9, 4),(9, 7),(10, 5),(11, 0),(11, 2),(11, 7),(13, 2),(13, 7),(15, 4),(15, 7)]	completion_time	1048.0	1714.500	0.0	1741.0	2407.500	0.0	13	4	0	[524,524]	[1098,750,643,964.5]	[1098,226,643,440.5]	[0,0,0,0]	[1098,750,643,964.5]	0.0	3468.500	3468.500	0	216.25	[]	0	3	0	0.131372	[(0, 4),(0, 11),(2, 11),(2, 13),(4, 0),(4, 9),(4, 15),(7, 9),(7, 11),(7, 13),(7, 15),(9, 4),(9, 7),(11, 0),(11, 2),(11, 7),(13, 2),(13, 7),(15, 4),(15, 7)]	completion_time	2335.0	2812.500	0.0	643.0	1133.500	13.0	4	9	4	0	[763,524,1048]	[750,643,964.5,1098]	[0,643,440.5,50]	[13,0,0,0]	[763,643,964.5,1098]	3468.500	3	0	0.115557	[(0, 4),(0, 11),(2, 11),(2, 13),(4, 0),(4, 9),(4, 15),(7, 9),(7, 11),(7, 13),(7, 15),(9, 4),(9, 7),(11, 0),(11, 2),(11, 7),(13, 2),(13, 7),(15, 4),(15, 7)]	completion_time	2335.0	2812.500	0.0	643.0	1133.500	13.0	9	4	0	[763,524,1048]	[750,643,964.5,1098]	[0,643,440.5,50]	[13,0,0,0]	[763,643,964.5,1098]	4269.0	0.000193	[524,880,650,1098,1117]	740251816502	1		1719780689	2024	6	30	22:51:29
